,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4218,1565.0,7.413043478260869,1571.0,7.478260869565217,2170.0,0.9021739130434783,38007.8125,88323.5294117645,708.0,-1241.0,37.83536585365854,3.0,3.0,10.578754578754578,8379903.0,47.957317073170735,1784.0,-1573.0,-54.39024390243903,708.0,0.01132201132201135,0.011322011322011348,284.0,-1.3588516746411483,1288.0,5.875598086124402,-1228.0,6.162679425837321,10.56842074357529
4219,1554.0,7.3478260869565215,1577.0,7.5978260869565215,2194.0,0.6413043478260869,38012.6953125,91928.57142857119,707.0,-1154.0,35.1829268292683,3.0,3.0,10.583638583638583,8380063.0,45.94512195121952,1763.0,-1507.0,-53.75000000000001,707.0,0.010878010878010906,0.010878010878010906,332.0,-1.588516746411483,1252.0,5.9330143540669855,-1240.0,5.990430622009569,10.589087813326342
4220,1542.0,7.271739130434782,1584.0,7.728260869565217,2198.0,0.5978260869565217,38017.578125,84990.56603773567,709.0,-1047.0,31.920731707317078,3.0,3.0,10.588522588522588,8380223.0,43.8109756097561,1758.0,-1437.0,-53.59756097560976,709.0,0.011766011766011792,0.01176601176601179,304.0,-1.4545454545454546,1280.0,6.162679425837321,-1288.0,6.124401913875598,10.628339573018689
4221,1539.0,7.684782608695652,1546.0,7.760869565217391,2198.0,0.5978260869565217,38022.4609375,91928.57142857119,707.0,-964.0,29.39024390243903,3.0,3.0,10.593406593406593,8380383.0,43.10975609756098,1669.0,-1414.0,-50.88414634146342,707.0,0.010878010878010906,0.010878010878010906,344.0,-1.645933014354067,1340.0,6.0669856459330145,-1268.0,6.411483253588517,10.938207174005916
4222,1548.0,8.152173913043478,1503.0,7.663043478260869,2216.0,0.40217391304347827,38027.34375,91928.57142857119,707.0,-839.0,25.57926829268293,3.0,3.0,10.598290598290598,8380543.0,43.75000000000001,1703.0,-1435.0,-51.92073170731708,707.0,0.010878010878010906,0.010878010878010906,364.0,-1.7416267942583732,1492.0,5.952153110047846,-1244.0,7.1387559808612435,11.195620514940464
4223,1541.0,8.054347826086957,1512.0,7.739130434782608,2193.0,0.6521739130434783,38032.2265625,91928.57142857119,707.0,-639.0,19.481707317073173,3.0,3.0,10.603174603174603,8380703.0,39.81707317073171,1811.0,-1306.0,-55.213414634146346,707.0,0.010878010878010906,0.010878010878010906,308.0,-1.4736842105263157,1440.0,6.105263157894736,-1276.0,6.889952153110047,11.188922629235783
4224,1538.0,7.391304347826087,1573.0,7.771739130434782,2182.0,0.7717391304347826,38037.109375,88323.5294117645,708.0,-480.0,14.634146341463415,3.0,3.0,10.608058608058608,8380863.0,36.3719512195122,1921.0,-1193.0,-58.56707317073171,708.0,0.01132201132201135,0.011322011322011348,284.0,-1.3588516746411483,1252.0,6.181818181818182,-1292.0,5.990430622009569,10.75299448335989
4225,1530.0,6.58695652173913,1647.0,7.858695652173913,2182.0,0.7717391304347826,38041.9921875,91928.57142857119,707.0,-328.0,10.000000000000002,3.0,3.0,10.612942612942613,8381023.0,36.25,2025.0,-1189.0,-61.737804878048784,707.0,0.010878010878010906,0.010878010878010906,268.0,-1.2822966507177034,1040.0,6.277511961722488,-1312.0,4.976076555023924,10.283125733852673
4226,1522.0,6.054347826086956,1696.0,7.945652173913043,2186.0,0.7282608695652174,38046.875,91928.57142857119,707.0,-123.0,3.7500000000000004,3.0,3.0,10.617826617826617,8381183.0,34.05487804878049,2387.0,-1117.0,-72.77439024390245,707.0,0.010878010878010906,0.010878010878010906,280.0,-1.339712918660287,948.0,6.392344497607655,-1336.0,4.535885167464115,10.015931307781258
4227,1526.0,5.913043478260869,1709.0,7.902173913043478,2171.0,0.8913043478260869,38051.7578125,88323.5294117645,708.0,1.0,-0.030487804878048783,3.0,3.0,10.622710622710622,8381343.0,30.57926829268293,2758.0,-1003.0,-84.08536585365854,708.0,0.01132201132201135,0.011322011322011348,260.0,-1.244019138755981,896.0,6.392344497607655,-1336.0,4.287081339712919,9.909735575091897
